a,word,level,word_translate
264,apartment,A1,квартира
265,apologize,A2,извиняться
266,apology,A1,извинения
267,app,A1,приложение
268,apparatus,A3,аппарат
269,apparent,A1,очевидный
270,apparently,A1,видимо
271,appeal,A1,обращаться
273,appealing,A3,привлекательный
274,appear,A1,появляться
275,appearance,A1,появление
276,appetite,A3,аппетит
277,applaud,A3,аплодисменты
278,apple,A1,яблоко
279,applicable,A3,применимый
280,applicant,A1,кандидат
281,application,A2,приложение
282,apply,A1,применять
283,appoint,A3,назначать
284,appointment,A2,встреча
285,appreciate,A2,ценить
286,appreciation,A3,признательность
287,approach,A1,подход
289,appropriate,A1,соответствующий
290,appropriately,A1,соответствующим образом
291,approval,A1,одобрение
292,approve,A1,утвердить
293,approximately,A2,примерно
294,april,A1,апрель
295,arbitrary,A3,произвольный
296,architect,A1,архитектор
297,architectural,A3,архитектурный
298,architecture,A1,архитектура
299,archive,A3,архив
300,area,A1,область
301,arena,A3,арена
302,arguably,A3,возможно
303,argue,A1,спорить
304,argument,A1,аргумент
305,arise,A1,возникнуть
306,arm,A1,рука
308,armed,A1,вооруженный
309,arms,A1,оружие
310,army,A1,армия
311,around,A1,вокруг
313,arrange,A1,договариваться
314,arrangement,A1,договоренность
315,array,A3,множество
316,arrest,A2,арест
318,arrival,A2,прибытие
319,arrive,A1,приезжать
320,arrow,A1,стрелка
321,art,A1,искусство
322,articulate,A3,шартикулировать
323,artificial,A1,искусственный
324,artist,A1,художник
325,artistic,A1,художественный
326,artwork,A1,произведение искусства
327,as,A1,как
330,ash,A3,пепел
331,ashamed,A1,стыдящийся
332,aside,A1,в стороне
333,ask,A1,просить
334,asleep,A1,спящий
335,aspect,A1,аспект
336,aspiration,A3,стремление
337,aspire,A3,стремиться к
338,assassination,A3,убийство
339,assault,A3,атаковать
341,assemble,A3,собирать
342,assembly,A3,сборка
343,assert,A3,утверждать
344,assertion,A3,утверждение
345,assess,A1,оценивать
346,assessment,A1,оценка
347,asset,A1,объект
348,assign,A1,назначать
349,assignment,A2,назначение
350,assist,A2,помощь
351,assistance,A1,помощь
352,assistant,A1,помощник
354,associate,A1,ассоциирован
355,associated,A1,асвязанный
356,association,A1,ассоциация
357,assume,A1,предполагать
358,assumption,A1,предположение
359,assurance,A3,гарантия
360,assure,A1,гарантировать
361,astonishing,A1,удивительный
362,asylum,A3,убежище
363,at,A1,в
364,athlete,A1,спортсмен
365,atmosphere,A2,атмосфера
366,atrocity,A3,злодеяние
367,attach,A2,прикреплять
368,attachment,A1,вложение
369,attack,A1,атака
371,attain,A3,достичь
372,attempt,A1,пытаться
374,attend,A1,посещать
375,attendance,A3,посещаемость
376,attention,A1,внимание
378,attitude,A2,отношение
379,attorney,A3,адвокат
380,attract,A2,привлекать
381,attraction,A2,привлечение
382,attractive,A1,привлекательный
383,attribute,A3,атрибут
385,auction,A1,аукцион
386,audience,A1,аудитория
387,audio,A1,аудио
388,audit,A3,аудитор
389,august,A1,август
390,aunt,A1,тетя
391,authentic,A3,аутентичный
392,author,A1,автор
393,authority,A2,власть
394,authorize,A3,разрешать
395,auto,A3,авто
396,automatic,A1,автоматический
397,automatically,A1,автоматически
398,autonomy,A3,автономия
399,autumn,A1,осень
400,availability,A3,доступность
401,available,A1,доступный
402,average,A1,средний
405,avoid,A1,избегать
406,await,A3,ждите
407,award,A1,премия
409,aware,A2,осведомленный
410,awareness,A1,осведомленность
411,away,A1,прочь
412,awful,A1,ужасный
413,awkward,A1,неуклюжий
414,baby,A1,малыш
415,back,A1,назад
419,backdrop,A3,фон
420,background,A1,фон
421,backing,A3,подложка
422,backup,A3,резервное копирование
423,backwards,A2,назад
424,bacteria,A1,бактерии
425,bad,A1,плохой
426,badge,A1,значок
427,badly,A1,плохо
428,bag,A1,сумка
429,bail,A3,залог
430,bake,A2,выпекать
431,balance,A2,баланс
433,balanced,A1,сбалансированный
434,ball,A1,мяч
435,ballet,A1,балет
436,balloon,A1,баллон
437,ballot,A3,голосование
438,ban,A2,запрет
440,banana,A1,банан
441,band,A1,группа
442,bank,A1,банк
443,banner,A3,баннер
444,bar,A1,бар
446,bare,A3,голый
447,barely,A1,едва
448,bargain,A1,торговаться
449,barrel,A3,ствол
450,barrier,A1,барьер
451,base,A2,база
453,baseball,A1,бейсбол
454,based,A1,основанный на
455,basement,A1,подвал
456,basic,A2,базовый
457,basically,A1,по сути
458,basis,A2,основа
459,basket,A1,корзина
460,basketball,A1,баскетбол
461,bass,A3,басс
462,bat,A1,летучая мышь
464,bath,A1,ванна
465,bathroom,A1,ванная комната
466,battery,A2,батарея
467,battle,A2,боевой
469,battlefield,A3,поле битвы
470,bay,A3,залив
471,be,A1,быть
473,beach,A1,пляж
474,beam,A3,луч
475,bean,A1,фасоль
476,bear,A1,медведь
478,beast,A3,зверь
479,beat,A1,бить
481,beautiful,A1,красивый
482,beauty,A2,красота
483,because,A1,потому что
484,become,A1,становиться
485,bed,A1,кровать
486,bedroom,A1,спальня
487,bee,A2,пчела
488,beef,A1,говядина
489,beer,A1,пиво
490,before,A1,до
493,beg,A1,очень прошу
494,begin,A1,начинать
495,beginning,A1,начало
496,behalf,A3,от имени
497,behave,A1,вести себя
498,behaviour,A1,поведение
499,behind,A1,позади
501,being,A1,существование
502,belief,A2,вера
503,believe,A1,полагать
504,bell,A2,колокол
505,belong,A1,принадлежать
506,beloved,A3,возлюбленный
507,below,A1,ниже
509,belt,A1,пояс
510,bench,A3,лавка
511,benchmark,A3,эталон
512,bend,A2,сгибать
514,beneath,A3,под
515,beneficial,A1,выгодный
516,beneficiary,A3,бенефициар
517,benefit,A1,выгода
519,bent,A1,наклонный
520,beside,A1,рядом
521,besides,A1,кроме
523,best,A1,лучший
526,bet,A1,делать ставку
528,betray,A3,предавать
529,better,A1,лучше
532,between,A1,между
534,beyond,A1,вне
536,bias,A1,предвзятость
537,bicycle,A1,велосипед
538,bid,A1,делать ставку
540,big,A1,большой
541,bike,A1,велосипед
542,bill,A1,счет
544,billion,A1,миллиард
545,bin,A1,бин
546,bind,A3,связывать
547,biography,A3,биография
548,biological,A1,биологический
549,biology,A1,биология
550,bird,A1,птица
551,birth,A1,рождение
552,birthday,A1,день рождения
553,biscuit,A1,бисквит
554,bishop,A3,епископ
555,bit,A1,кусочек
556,bite,A2,кусать
558,bitter,A1,горький
559,bizarre,A3,странно
560,black,A1,черный
562,blade,A3,лезвие
563,blame,A1,обвинять
565,blank,A1,пустой
567,blanket,A1,одеяло
568,blast,A3,взрыв
570,bleed,A3,провести кровотечение
571,blend,A3,смешивать
573,bless,A3,благословить
574,blessing,A3,благословение
575,blind,A1,слепой
576,block,A2,блокировать
578,blog,A1,блог
579,blonde,A1,блондинка
580,blood,A1,кровь
581,blow,A1,дуть
583,blue,A1,синий
585,board,A1,доска
587,boast,A3,хвастаться
588,boat,A1,лодка
589,body,A1,тело
590,boil,A1,кипятить
591,bold,A1,смелый
592,bomb,A2,бомбить
594,bombing,A1,бомбардировка
595,bond,A1,связь
596,bone,A1,кость
597,bonus,A3,бонус
598,book,A1,книга
600,booking,A1,бронирование
601,boom,A3,бум
602,boost,A1,способствовать росту
604,boot,A1,ботинок
605,border,A2,граница
607,bored,A1,скучающий
608,boring,A1,скучный
609,born,A1,рожденный
610,borrow,A1,занимать
611,boss,A1,босс
612,both,A1,оба
614,bother,A2,беспокоить
615,bottle,A1,бутылка
616,bottom,A1,нижний
618,bounce,A3,подпрыгивать
619,bound,A1,граница
620,boundary,A3,граница
621,bow,A3,поклон
623,bowl,A1,чаша
624,box,A1,коробка
625,boy,A1,мальчик
626,boyfriend,A1,дружок
627,brain,A1,мозг
628,branch,A2,ветвь
629,brand,A2,бренд
631,brave,A2,храбрый
632,breach,A3,нарушение
634,bread,A1,хлеб
635,break,A1,перерыв
637,breakdown,A3,авария
638,breakfast,A1,завтрак
639,breakthrough,A3,прорвать
640,breast,A1,грудь
641,breath,A2,дыхание
642,breathe,A2,дышать
643,breathing,A2,дыхание
644,breed,A3,порода
646,brick,A1,кирпич
647,bride,A2,невеста
648,bridge,A1,мост
649,brief,A1,краткий
650,briefly,A1,вкратце
651,bright,A1,яркий
652,brilliant,A1,блестящий
653,bring,A1,приносить
654,broad,A1,широкий
655,broadband,A3,широкополосная связь
656,broadcast,A1,транслировать
658,broadcaster,A1,вещатель
659,broadly,A1,широко
660,broken,A1,сломанный
661,brother,A1,брат
662,brown,A1,коричневый
664,browser,A3,браузер
665,brush,A1,щетка
667,brutal,A3,жестокий
668,bubble,A2,пузырь
669,buck,A3,бак
670,buddy,A3,приятель
671,budget,A1,бюджет
672,buffer,A3,буфер
673,bug,A1,ошибка
674,build,A1,строить
675,building,A1,здание
676,bulk,A3,масса
677,bullet,A1,пуля
678,bunch,A1,связка
679,burden,A3,груз
680,bureaucracy,A3,бюрократия
681,burial,A3,погребение
682,burn,A1,гореть
684,burst,A3,лопаться
685,bury,A2,хоронить
686,bus,A1,автобус
687,bush,A1,куст
688,business,A1,бизнес
689,businessman,A1,бизнесмен
690,busy,A1,занятый
691,but,A1,но
693,butter,A1,масло
694,button,A1,кнопка
695,buy,A1,купить
696,by,A2,к
698,bye,A1,пока
699,cabin,A1,кабина
700,cabinet,A3,шкаф
701,cable,A1,кабель
702,cafe,A1,кафе
703,cake,A1,торт
704,calculate,A1,рассчитать
705,calculation,A3,расчет
706,call,A1,вызов
708,calm,A2,спокойствие
711,camera,A1,камера
712,camp,A1,лагерь
714,campaign,A2,кампания
716,camping,A1,отдых на природе
717,campus,A2,кампус
718,can,A1,может
720,canal,A1,канал
721,cancel,A1,отмена
722,cancer,A1,рак
723,candidate,A2,кандидат
724,candle,A1,свеча
725,cannot,A1,не могу
726,canvas,A3,холст
727,cap,A2,кепка
728,capability,A3,способность
729,capable,A1,способный
730,capacity,A1,емкость
731,capital,A1,капитал
733,capitalism,A3,капитализм
734,capitalist,A3,капиталист
735,captain,A2,капитан
736,capture,A1,захватывать
738,car,A1,машина
739,carbon,A1,углерод
740,card,A1,карта
741,care,A1,забота
743,career,A1,карьера
744,careful,A1,осторожный
745,carefully,A1,осторожно
746,careless,A2,беспечный
747,cargo,A3,груз
748,carpet,A1,ковер
749,carriage,A3,перевозка
750,carrot,A1,морковь
751,carry,A1,нести
752,cartoon,A1,мультфильм
753,carve,A3,вырезать
754,case,A1,случай
755,cash,A1,наличные
756,casino,A3,казино
757,cast,A1,бросать
759,castle,A1,замок
760,casual,A1,повседневный
761,casualty,A3,жертва
762,cat,A1,кот
763,catalogue,A3,каталог
764,catch,A1,ловить
766,category,A2,категория
767,cater,A3,пособие
768,cattle,A3,крупный рогатый скот
769,cause,A1,причина
771,caution,A3,осторожность
772,cautious,A3,осторожный
773,cave,A1,пещера
774,cd,A1,cd
775,cease,A3,прекратить
776,ceiling,A2,потолок
777,celebrate,A1,праздновать
778,celebration,A2,праздник
779,celebrity,A1,знаменитость
780,cell,A1,клетка
781,cemetery,A3,кладбище
782,cent,A1,цент
783,central,A2,центральный
784,centre,A1,центр
786,century,A1,век
787,ceremony,A2,церемония
788,certain,A1,определенный
789,certainly,A1,конечно
790,certainty,A1,уверенность
791,certificate,A1,сертификат
792,chain,A2,цепь
794,chair,A1,стул
796,chairman,A1,председатель
797,challenge,A2,испытание
799,challenging,A1,испытывающий
800,chamber,A3,камера
801,champion,A2,чемпион
802,championship,A1,чемпионат
803,chance,A1,шанс
804,change,A1,изменять
806,channel,A2,канал
807,chaos,A3,хаос
808,chapter,A2,глава
809,character,A1,характер
810,characteristic,A1,характеристика
812,characterize,A3,характеризовать
813,charge,A2,заряжать
815,charity,A1,благотворительность
816,charm,A3,шарм
817,charming,A1,очаровательный
818,chart,A1,диаграмма
820,charter,A3,чартер
821,chase,A1,гнаться
823,chat,A1,чат
825,cheap,A1,дешевый
827,cheat,A2,изменять
829,check,A1,проверять
831,cheek,A1,щека
832,cheer,A1,радость
834,cheerful,A2,жизнерадостный
835,cheese,A1,сыр
836,chef,A1,шеф -повар
837,chemical,A2,химический
839,chemistry,A1,химия
840,chest,A2,грудь
841,chicken,A1,курица
842,chief,A1,главный
844,child,A1,ребенок
845,childhood,A2,детство
846,chip,A1,чип
847,chocolate,A1,шоколад
848,choice,A1,выбор
849,choir,A1,хор
850,choose,A1,выбирать
851,chop,A1,нарезать
852,chronic,A3,хронический
853,chunk,A3,кусок
854,church,A1,церковь
855,cigarette,A1,сигарета
856,cinema,A1,кино
857,circle,A1,круг
859,circuit,A1,схема
860,circulate,A3,циркулировать
861,circulation,A3,циркуляция
862,circumstance,A1,обстоятельство
863,cite,A1,цитировать
864,citizen,A1,гражданин
865,citizenship,A3,гражданство
866,city,A1,город
867,civic,A3,гражданский
868,civil,A1,гражданский
869,civilian,A3,гражданское лицо
871,civilization,A1,цивилизация
872,claim,A2,требовать
874,clarify,A1,объяснить
875,clarity,A3,ясность
876,clash,A3,столкновение
877,class,A1,сорт
878,classic,A1,классик
880,classical,A1,классический
881,classification,A3,классификация
882,classify,A1,классифицировать
883,classroom,A1,класс
884,clause,A2,пункт
885,clean,A1,чистый
887,cleaning,A1,уборка
888,clear,A1,прозрачный
890,clearly,A1,четко
891,clerk,A1,клерк
892,clever,A1,умный
893,click,A2,нажимать
895,client,A2,клиент
896,cliff,A1,утес
897,climate,A1,климат
898,climb,A2,взбираться
900,cling,A3,цепляться
901,clinic,A1,клиника
902,clinical,A3,клинический
903,clip,A1,клип
904,clock,A1,часы
905,close,A1,закрывать
909,closed,A1,закрыто
910,closely,A1,близко
911,closure,A3,закрытие
912,cloth,A2,ткани
913,clothes,A1,одежда
914,clothing,A1,одежда
915,cloud,A1,облако
916,club,A1,клуб
917,clue,A2,зацепка
918,cluster,A3,кластер
919,coach,A1,тренер
921,coal,A2,уголь
922,coalition,A3,коалиция
923,coast,A1,побережье
924,coastal,A3,прибрежный
925,coat,A1,пальто
926,cocktail,A3,коктейль
927,code,A1,код
928,coffee,A1,кофе
929,cognitive,A3,когнитивный
930,coin,A2,монета
931,coincide,A3,совпадает
932,coincidence,A1,совпадение
933,cold,A1,холодный
935,collaborate,A3,сотрудничать
936,collaboration,A3,сотрудничество
937,collapse,A1,крах
939,colleague,A1,коллега
940,collect,A1,собирать
941,collection,A2,коллекция
942,collective,A3,коллектив
943,collector,A1,коллектор
944,college,A1,колледж
945,collision,A3,столкновение
946,colonial,A3,колониальный
947,colony,A1,колония
948,colour,A1,цвет
949,coloured,A2,цветной
950,colourful,A1,красочный
951,column,A1,столбец
952,columnist,A3,обозреватель
953,combat,A3,боевой
955,combination,A1,комбинация
956,combine,A2,комбинировать
957,come,A1,приходить
958,comedy,A1,комедия
959,comfort,A1,комфорт
961,comfortable,A1,комфортный
962,comic,A1,комикс
964,command,A1,командование
966,commander,A1,командир
967,commence,A3,начнется
968,comment,A1,комментарий
970,commentary,A3,комментарий
971,commentator,A3,комментатор
972,commerce,A3,коммерция
973,commercial,A2,коммерческий
975,commission,A1,комиссия
977,commissioner,A3,комиссар
978,commit,A2,совершить
979,commitment,A1,обязательство
980,committee,A1,комитет
981,commodity,A3,товар
982,common,A1,общий
983,commonly,A1,обычно
984,communicate,A1,общаться
985,communication,A2,коммуникация
986,communist,A3,коммунистический
987,community,A1,сообщество
988,companion,A3,товарищ
989,company,A1,компания
990,comparable,A3,сопоставимо
991,comparative,A1,сравнительная степень
992,compare,A1,сравнивать
993,comparison,A2,сравнение
994,compassion,A3,сострадание
995,compel,A3,принуждать
996,compelling,A3,неотразимый
997,compensate,A3,компенсировать
998,compensation,A3,компенсация
999,compete,A1,конкурировать
1000,competence,A3,компетенция
1001,competent,A3,компетентный
1002,competition,A1,соревнование
1003,competitive,A2,конкурентоспособный
1004,competitor,A2,конкурент
1005,compile,A3,компиляция
1006,complain,A1,жаловаться
1007,complaint,A2,жалоба
1008,complement,A3,дополнение
1009,complete,A1,полный
1011,completely,A1,полностью
1012,completion,A1,завершение
1013,complex,A2,сложный
1015,complexity,A3,сложность
1016,compliance,A3,согласие
1017,complicated,A1,сложный
1018,complication,A3,осложнение
1019,comply,A3,исполнять
1020,component,A1,компонент
1021,compose,A1,сочинять
1022,composer,A1,композитор
1023,composition,A3,состав
1024,compound,A1,сложный
1025,comprehensive,A1,всесторонний
1026,comprise,A1,включать
1027,compromise,A3,компромисс
1029,compulsory,A1,принудительный
1030,compute,A3,вычислять
1031,computer,A1,компьютер
1032,conceal,A3,скрывать
1033,concede,A3,уступать
1034,conceive,A3,задуматься
1035,concentrate,A2,концентрироваться
1036,concentration,A1,концентрация
1037,concept,A1,концепция
1038,conception,A3,концепция
1039,concern,A1,беспокойство
1041,concerned,A1,обеспокоенный
1042,concert,A1,концерт
1043,concession,A3,концессия
1044,conclude,A2,заключить
1045,conclusion,A2,заключение
1046,concrete,A1,конкретный
1048,condemn,A3,осуждать
1049,condition,A1,состояние
1050,conduct,A1,руководить
1052,confer,A3,конференц
1053,conference,A1,конференция
1054,confess,A1,признаваться
1055,confession,A3,признание
1056,confidence,A1,уверенность
1057,confident,A2,уверенный
1058,configuration,A3,конфигурация
1059,confine,A3,ограничивать
1060,confirm,A2,подтверждать
1061,confirmation,A3,подтверждение
1062,conflict,A1,конфликт
1064,confront,A3,противостоять
1065,confrontation,A3,конфронтация
1066,confuse,A2,запутать
1067,confused,A2,смущенный
1068,confusing,A1,сбивает с толку
1069,confusion,A1,путаница
1070,congratulate,A3,поздравлять
1071,congregation,A3,собрание
1072,congressional,A3,конгресс
1073,connect,A1,соединять
1074,connected,A1,связанный
1075,connection,A2,связь
1076,conquer,A3,завоевывать
1077,conscience,A3,совесть
1078,conscious,A1,сознательный
1079,consciousness,A3,сознание
1080,consecutive,A3,последовательный
1081,consensus,A3,консенсус
1082,consent,A3,согласие
1084,consequence,A2,последствие
1085,consequently,A1,следовательно
1086,conservation,A1,сохранение
1087,conservative,A1,консервативный
1089,conserve,A3,сохранить
1090,consider,A1,учитывать
1091,considerable,A1,значительно
1092,considerably,A1,значительно
1093,consideration,A1,рассмотрение
1094,consist,A2,состоять
1095,consistency,A3,последовательность
1096,consistent,A1,последовательный
1097,consistently,A1,последовательно
1098,consolidate,A3,консолидировать
1099,conspiracy,A1,заговор
1100,constant,A1,постоянный
1101,constantly,A1,постоянно
1102,constituency,A3,избирательный округ
1103,constitute,A3,составляют
1104,constitution,A3,конституция
1105,constitutional,A3,конституционный
1106,constraint,A3,ограничение
1107,construct,A1,конструкция
1108,construction,A1,строительство
1109,consult,A1,консультироваться
1110,consultant,A1,консультант
1111,consultation,A3,консультация
1112,consume,A2,потреблять
1113,consumer,A2,потребитель
1114,consumption,A1,потребление
1115,contact,A2,контакт
1117,contain,A1,содержать
1118,container,A2,контейнер
1119,contemplate,A3,созерцать
1120,contemporary,A1,современный
1121,contempt,A3,презрение
1122,contend,A3,сорвать
1123,contender,A3,претендент
1124,content,A3,содержание
1126,contention,A3,раздор
1127,contest,A1,конкурс
1129,context,A1,контекст
1130,continent,A1,континент
1131,continually,A3,постоянно
1132,continue,A1,продолжать
1133,continuous,A2,непрерывный
1134,contract,A1,договор
1136,contractor,A3,подрядчик
1137,contradiction,A3,противоречие
1138,contrary,A3,наоборот
1140,contrast,A2,контраст
1142,contribute,A1,способствовать
1143,contribution,A1,вклад
1144,contributor,A3,участник
1145,control,A1,контроль
1147,controversial,A1,спорный
1148,controversy,A1,спор
1149,convenience,A1,удобство
1150,convenient,A2,удобный
1151,convention,A1,соглашение
1152,conventional,A1,общепринятый
1153,conversation,A1,беседа
1154,conversion,A3,обращение
1155,convert,A1,конвертировать
1156,convey,A1,передавать
1157,convict,A3,осужденный
1158,conviction,A3,убеждение
1159,convince,A2,убеждать
1160,convinced,A1,убежденный
1161,convincing,A1,убедительный
1162,cook,A1,готовить
1164,cooker,A1,плита
1165,cooking,A1,готовка
1166,cool,A1,прохладный
1168,cooperate,A3,сотрудничать
1169,cooperative,A3,кооператив
1170,coordinate,A3,координировать
1171,coordination,A3,координация
1172,coordinator,A3,координатор
1173,cop,A3,полицейский
1174,cope,A1,справляться
1175,copper,A3,медь
1176,copy,A1,копия
1178,copyright,A3,авторские права
1179,core,A1,основной
1181,corner,A1,угол
1182,corporate,A1,корпоративный
1183,corporation,A1,корпорация
1184,correct,A1,правильный
1186,correction,A3,коррекция
1187,correctly,A1,правильно
1188,correlate,A3,коррелирует
1189,correlation,A3,корреляция
1190,correspond,A3,вести переписку
1191,correspondence,A3,переписка
1192,correspondent,A3,корреспондент
1193,corresponding,A3,соответствующий
1194,corridor,A1,коридор
1195,corrupt,A3,коррумпированный
1196,corruption,A3,коррупция
1197,cost,A1,расходы
1199,costly,A3,дорого
1200,costume,A2,костюм
1201,cottage,A2,коттедж
1202,cotton,A2,хлопок
1203,could,A1,мог
1204,council,A1,совет
1205,councillor,A3,советник
1206,counselling,A3,консультирование
1207,counsellor,A3,консультант
1208,count,A2,считать
1210,counter,A1,прилавок
1212,counterpart,A3,коллега
1213,countless,A3,бесчисленное количество
1214,country,A1,страна
1215,countryside,A2,сельская местность
1216,county,A1,округ
1217,coup,A3,переворот
1218,couple,A1,пара
1219,courage,A1,храбрость
1220,course,A1,курс
1221,court,A2,суд
1222,courtesy,A3,учтивость
1223,cousin,A1,двоюродный брат
1224,cover,A2,крышка
1226,coverage,A1,покрытие
1227,covered,A2,покрытый
1228,cow,A1,корова
1229,crack,A1,трескаться
1231,craft,A1,ремесло
1233,crash,A1,крушение
1235,crawl,A3,ползти
1236,crazy,A1,сумасшедший
1237,cream,A2,крем
1239,create,A1,создавать
1240,creation,A1,создание
1241,creative,A1,творческий
1242,creativity,A1,креативность
1243,creator,A3,создатель
1244,creature,A1,существо
1245,credibility,A3,доверие
1246,credible,A3,заслуживающий доверия
1247,credit,A1,кредит
1249,creep,A3,слизняк
1250,crew,A1,экипаж
1251,crime,A1,преступление
1252,criminal,A2,преступник
1254,crisis,A1,кризис
