a_x,word,level_x,word_translate_x,a_y,level_y,word_translate_y
5421,tolerate,A3,терпеть,,,
5428,tongue,A2,язык,,,
5431,tonne,A1,тонна,,,
5433,tool,A1,инструмент,,,
5438,topic,A1,тема,,,
5441,toss,A3,бросать,,,
5442,total,A2,общий,,,
5445,totally,A2,полностью,,,
5448,tough,A1,жесткий,,,
5454,towards,A1,к,,,
5457,town,A1,город,,,
5468,trading,A1,торговля,,,
5474,trail,A3,тащить,,,
5479,trainer,A1,тренер,,,
5480,training,A1,обучение,,,
5493,transmit,A1,передавать,,,
5495,transparent,A3,прозрачный,,,
5498,transportation,A1,транспорт,,,
5506,treat,A2,обращаться,,,
5507,treatment,A2,уход,,,
5508,treaty,A3,договор,,,
5510,tremendous,A3,огромный,,,
5514,tribe,A1,племя,,,
5523,trip,A1,путешествие,,,
5531,troubled,A3,обеспокоенный,,,
5532,trousers,A1,брюки,,,
5533,truck,A1,грузовик,,,
5535,truly,A1,действительно,,,
5540,try,A1,пытаться,,,
5543,tube,A2,трубка,,,
5545,tuition,A3,обучение,,,
5546,tune,A1,мелодия,,,
5548,turn,A1,повернуть,,,
5564,typically,A2,обычно,,,
5576,under,A1,под,,,
5578,undergo,A1,проходить,,,
5584,understand,A1,понимать,,,
5585,understanding,A1,понимание,,,
5596,unhappy,A1,несчастный,,,
5613,unpleasant,A2,неприятный,,,
5615,until,A1,до,,,
5618,unveil,A3,раскрыть,,,
5621,upcoming,A3,предстоящий,,,
5622,update,A2,обновлять,,,
5626,uphold,A3,поддерживать,,,
5627,upon,A2,на,,,
5629,upset,A2,расстройство,,,
5633,upwards,A1,вверх,,,
5638,usage,A1,применение,,,
5643,useful,A1,полезный,,,
5646,usual,A1,обычный,,,
5647,usually,A1,обычно,,,
5649,utilize,A3,использовать,,,
5654,valid,A1,действительный,,,
5658,value,A2,ценить,,,
5666,variety,A1,разнообразие,,,
5669,vast,A1,огромный,,,
5673,venture,A3,риск,,,
5678,verify,A3,проверять,,,
5679,verse,A3,стих,,,
5680,version,A2,версия,,,
5681,versus,A3,против,,,
5683,very,A1,очень,,,
5689,vibrant,A3,яркий,,,
5692,victim,A2,жертва,,,
5697,viewer,A2,зритель,,,
5702,violation,A3,нарушение,,,
5704,violent,A2,жестокий,,,
5706,virtue,A3,достоинство,,,
5711,visit,A1,посещать,,,
5719,volume,A1,объем,,,
5723,vote,A2,голосование,,,
5725,voting,A1,голосование,,,
5740,ward,A3,сторожить,,,
5757,watch,A1,смотреть,,,
5770,wealthy,A1,богатый,,,
5771,weapon,A2,оружие,,,
5777,wedding,A1,свадьба,,,
5778,wednesday,A1,среда,,,
5784,weight,A1,масса,,,
5785,weird,A1,странный,,,
5791,well,A1,хорошо,,,
5799,western,A2,западный,,,
5801,what,A1,что,,,
5821,while,A1,пока,,,
5823,whilst,A3,пока,,,
5831,whole,A1,весь,,,
5833,wholly,A3,полностью,,,
5838,wide,A1,широкий,,,
5839,widely,A1,широко,,,
5840,widen,A3,расширять,,,
5849,willing,A1,готовый,,,
5864,wish,A1,желание,,,
5867,with,A1,с,,,
5868,withdraw,A1,отзывать,,,
5877,wonderful,A1,замечательный,,,
5878,wood,A1,древесина,,,
5880,wool,A2,шерсть,,,
5882,work,A1,работа,,,
5890,world,A1,мир,,,
5902,worst,A1,худший,,,
5917,writing,A1,письмо,,,
5925,yell,A3,кричать,,,
5931,yet,A1,еще,,,
5933,yield,A3,урожай,,,
5941,yourself,A1,сам,,,
